iter	Passed	Remaining
0	3	154
1	6	154
2	9	152
3	12	148
4	16	144
5	18	137
6	21	132
7	23	124
8	26	118
9	28	113
10	30	108
11	32	103
12	34	97
13	36	92
14	37	88
15	39	83
16	41	79
17	42	75
18	44	72
19	45	68
20	47	65
21	48	62
22	50	59
23	51	56
24	53	53
25	55	50
26	56	48
27	57	45
28	59	42
29	61	40
30	62	38
31	64	36
32	66	34
33	67	31
34	69	29
35	71	27
36	73	25
37	74	23
38	76	21
39	78	19
40	79	17
41	80	15
42	82	13
43	84	11
44	85	9
45	87	7
46	88	5
47	90	3
48	92	1
49	94	0
